Atm name,Address,Latitude,Longitude,Zone,Easting,Northing,City,Type
Greater Bombay Co-Operative Bank Limited ATM - Dahisar East Branch,"6, Shef Field, Ground Floor, Chhatrapati Shivaji Rd, opposite Jari Mari Garden",19.0903694,72.8627519,43,275135.3076,2112198.795,borivali,Atm
ICICI BANK ATM,"Ramkumar, Jaya Apartment, Ramkunwar Thakur Marg, opp. Dahisar Sports Ground",19.2545207,72.8607646,43,275149.0859,2130374.668,borivali,Atm
IndusInd Bank ATM,"Shop No,2, Panchadham chs. Ltd, opp. Jari mari Garden",19.2556274,72.8631789,43,275404.4487,2130494.068,borivali,Atm
Mumbai Bank ATM,Rajaram Tawde Rd,19.251112,72.8575318,43,274804.5125,2130001.475,borivali,Atm
Axis Bank ATM,Shop No 3 Dahisar Opposite Green Wood Building,19.2574665,72.8650191,43,275600.4412,2130695.297,borivali,Atm
Icici Atm,"C-Wing, Chhatrapati Shivaji Rd Number 4",19.2550993,72.8620976,43,275290.0348,2130437,borivali,Atm
State Bank Of India ATM,Maratha Colony Internal Road,19.2533697,72.8614755,43,275222.2655,2130246.319,borivali,Atm
State Bank ATM,"Near Petrol Pump, Swami Vivekanand Road, near Gaurav Tarpaulins",19.2545878,72.8671385,43,275819.3697,2130373.854,borivali,Atm
Axis Bank ATM,"B Wing, Madhuban, Lokmanya Tilak Rd",19.2552232,72.8579817,43,274857.4327,2130456.05,borivali,Atm
IndusInd Bank ATM,"Shop no 10, Ketki apartment, Misquittanagar",19.253415,72.860262,43,275094.731,2130252.906,borivali,Atm
State Bank of India,Mumbai,19.0759837,72.8776559,43,276684.6644,2110587.09,borivali,Atm
State Bank Of India ATM,"806, Lokamanya Tilak Rd",19.2540899,72.8577569,43,274832.248,2130330.872,borivali,Atm
Bharat Bank ATM,"101, Western Express Hwy",19.2283499,72.8627488,43,275322.0834,2127474.694,borivali,Atm
ICICI ATM,Hari Shankar Joshi Rd,19.2519924,72.8601189,43,275077.7439,2130095.593,borivali,Atm
State Bank Of India ATM,"Orchid Plaza, Maratha Colony Rd, opposite Patel Apartments",19.2517887,72.8623278,43,275309.7281,2130070.181,borivali,Atm
borivali All Atm,Borivali West Skywalk,19.2278024,72.8556662,43,274576.5059,2127423.249,borivali,Atm
Bank Of India ATM,"Siddhivinayak Gardens CHS, Sant Dnyaneshwar Rd",19.2430168,72.8654174,43,275622.6614,2129095.037,borivali,Atm
Bassein Catholic Co-operative Bank Ltd. & ATM - Borivali,"Kaurtubh Park, Vishwaganga CHSL, Mandapeshwar Road, Borivali West, near Bhagwati Hospital",19.2406698,72.8547245,43,274495.0529,2128849.043,borivali,Atm
IndusInd Bank ATM,"Shop No 4, Raj Heritage Tower, Laxman Mhatre Rd",19.2492411,72.8534877,43,274376.7197,2129799.594,borivali,Atm
Janseva Sahakari Bank Borivali Limited ATM - Dahisar East Branch,"Wamanrao Sawant Rd, opposite Dr.Kerkar Clinic",19.2528115,72.8618874,43,275264.8148,2130183.986,borivali,Atm
Citizen Credit Co-Op Bank ATM,"Rosario Apartment, IC Colony Rd",19.2471013,72.8503116,43,274039.82,2129566.822,borivali,Atm
Axis Bank ATM,"Borivali, opposite Bhagwati Hospital",19.241455,72.854836,43,274507.8509,2128935.829,borivali,Atm
Idbi Bank Atm Borivali - S.V.Road,"Ground Floor, court chambers co operative housing society, Swami Vivekananda Rd",19.2257367,72.8552634,43,274531.3255,2127195.074,borivali,Atm
Corporation Bank ATM,Yogi Nagar Marg,19.2349581,72.8416938,43,273116.9431,2128233.653,borivali,Atm
ICICI Bank ATM(24 Hrs),"Shop No.19, Adinath Tower, Sant Dnyaneshwar Rd, opposite Nancy Bus Depot",19.2425272,72.8649487,43,275572.7098,2129041.438,borivali,Atm
Bank of Baroda ATM,"Shop No- 2, Sumar Nagar Next to Pizza Hut S. V. Road Borivali West",19.2138801,72.8407343,43,272987.0706,2125901.308,borivali,Atm
HDFC Bank ATM,"Shriram Trade Center, SVP Rd Chamunda Circle, Borivali West",19.2332344,72.8552023,43,274535.1387,2128025.237,borivali,Atm
CANARA BANK ATM,"PB NO, 7715, SHRIJI NIVAS, Lokmanya Tilak Rd",19.2303852,72.8393453,43,272863.6824,2127730.443,borivali,Atm
Union Bank Of India ATM,Mandapeshwar Rd,19.2509548,72.8536572,43,274396.8871,2129989.101,borivali,Atm
Greater Bank ATM,"A - 11, Ratan Nagar, Borivali East",19.240397,72.8644873,43,275521.2937,2128806.197,borivali,Atm
