Restaurent Name,Address,City,Final Address,Latitude,Longitude,Zone,Easting,Northing,Type
Nashtawaala,Vasai Railway Station Rd,vasairoad,"Vasai Railway Station Rd ,  vasairoad",19.3836174,72.830838,43,272181.4847,2144706.516,Restaurent
Utsav Pure Veg,"Shop No.14, Gokul Park, Manav Mandir Landmark:- Near old Swaminarayan Mandir Off",vasairoad,"Shop No.14, Gokul Park, Manav Mandir Landmark:- Near old Swaminarayan Mandir Off ,  vasairoad",19.3836174,72.8251915,43,271588.2317,2144713.984,Restaurent
Dandekar Lunch Home,"Shop No. 9, Periyar CHS, MG Road, Vasai Road West, opp. D'Mart",vasairoad,"Shop No. 9, Periyar CHS, MG Road, Vasai Road West, opp. D'Mart ,  vasairoad",19.3836174,72.8149596,43,270513.2065,2144727.565,Restaurent
Aarna Dine inn,"DC Club, Papdy - Bangli Rd, behind Big Bazaar",vasairoad,"DC Club, Papdy - Bangli Rd, behind Big Bazaar ,  vasairoad",19.3836174,72.812594,43,270264.6615,2144730.714,Restaurent
Idli Culture,"B-109, Neel Nayan Bldg, near deewan market",vasairoad,"B-109, Neel Nayan Bldg, near deewan market ,  vasairoad",19.3836174,72.8371699,43,272846.7475,2144698.165,Restaurent
Mosshi The Asian Kitchen,"Shop no 28 Lotus Apartment, near K Moviestar Star Cinema, Kaul's Heritage City",vasairoad,"Shop no 28 Lotus Apartment, near K Moviestar Star Cinema, Kaul's Heritage City ,  vasairoad",19.3836174,72.8137457,43,270385.6665,2144729.181,Restaurent
The Small Town's Diner,"Shop F-7, Jayraj Nagar CHS, 100 Feet Rd, opposite Advanced Dental Care",vasairoad,"Shop F-7, Jayraj Nagar CHS, 100 Feet Rd, opposite Advanced Dental Care ,  vasairoad",19.3836174,72.8237833,43,271440.2781,2144715.849,Restaurent
Seasons Vasai,"Bad Boyz 101 - 107, 1st Floor, Dheeraj Shopping Centre, Evershine Last Stop",vasairoad,"Bad Boyz 101 - 107, 1st Floor, Dheeraj Shopping Centre, Evershine Last Stop ,  vasairoad",19.3836174,72.8351704,43,272636.6697,2144700.799,Restaurent
MY DREAM CAFE,"60 Feet Rd, opp. ganesh mandir",vasairoad,"60 Feet Rd, opp. ganesh mandir ,  vasairoad",19.3836174,72.8291821,43,272007.5067,2144708.704,Restaurent
Vasai Local Restaurant,"Vasai local restaurant Marry villa roof top, near MNS office",vasairoad,"Vasai local restaurant Marry villa roof top, near MNS office ,  vasairoad",19.3836174,72.8439773,43,273561.9664,2144689.214,Restaurent
Kerala Cafe,"Ground Floor, Vardan Apartment, St Alphonsa Church Rd",vasairoad,"Ground Floor, Vardan Apartment, St Alphonsa Church Rd ,  vasairoad",19.3836174,72.8224015,43,271295.098,2144717.681,Restaurent
The Oceanus Theme Restaurant,"1st floor, Imperial Classic building, Bhabola Naka",vasairoad,"1st floor, Imperial Classic building, Bhabola Naka ,  vasairoad",19.3836174,72.815207,43,270539.1999,2144727.236,Restaurent
Rolls On Coals,"Shop No 5, Moti Niwas, Ambadi Rd, opposite Kotak Mahindra Bank",vasairoad,"Shop No 5, Moti Niwas, Ambadi Rd, opposite Kotak Mahindra Bank ,  vasairoad",19.3836174,72.8274649,43,271827.0881,2144710.975,Restaurent
Rolls On Coals,"Rashmi Divya Complex, B-12, Nalasopara - Vasai Link Rd",vasairoad,"Rashmi Divya Complex, B-12, Nalasopara - Vasai Link Rd ,  vasairoad",19.3836174,72.8267847,43,271755.6224,2144711.875,Restaurent
Kubera Veg Restaurant,"Dewan Tower, Ground Floor, Vasai Station Rd, opposite Parvati Cinema",vasairoad,"Dewan Tower, Ground Floor, Vasai Station Rd, opposite Parvati Cinema ,  vasairoad",19.3836174,72.828915,43,271979.4437,2144709.057,Restaurent
